timestamps,TP9,AF7,AF8,TP10,Right AUX
1865.428,-263.184,10.742,16.113,16.113,34.18
1865.432,197.754,283.203,24.902,47.852,-78.613
1865.447,253.906,171.387,20.508,50.781,-34.18
1865.451,-178.223,-22.949,16.602,24.414,87.891
1865.455,-333.984,-20.02,15.137,11.719,99.121
1865.459,104.004,190.43,18.555,43.457,-15.625
1865.463,305.176,284.668,21.484,65.43,-76.66
1865.466,-102.051,-108.398,10.742,54.199,227.539
1865.47,-354.98,-224.121,15.625,34.668,356.934
1865.474,-29.785,259.277,34.18,19.043,-93.262
1865.478,327.148,295.41,34.668,41.992,-187.012
1865.482,71.289,96.191,31.25,41.992,-4.883
1865.486,-316.406,154.785,34.18,15.625,-58.105
1865.49,-140.625,215.82,33.203,20.02,-251.465
1865.493,275.879,175.781,35.645,54.199,-143.555
1865.497,190.918,135.254,37.109,43.457,-28.32
1865.501,-254.883,55.664,27.832,12.207,-79.59
1865.505,-267.578,108.887,24.902,23.926,-112.793
1865.509,193.359,138.672,20.996,65.43,-14.648
1865.513,294.922,-20.02,18.066,91.797,81.055
1865.517,-133.301,36.621,21.484,47.363,-53.711
1865.521,-325.684,198.242,23.438,12.695,-152.832
1865.524,75.684,105.957,22.949,42.48,-26.855
1865.528,358.398,4.883,19.043,81.055,289.062
1865.532,11.23,247.559,22.949,48.34,32.227
1865.536,-321.777,210.449,23.438,2.93,-184.57
1865.537,-36.621,140.137,21.973,8.789,-64.941
1865.541,351.562,223.633,21.484,46.875,-36.133
1865.545,115.234,156.25,23.438,50.781,40.039
1865.549,-291.992,85.449,16.113,17.578,17.578
1865.553,-193.359,-21.973,-16.602,31.738,193.359
1865.557,254.395,36.621,-17.09,76.66,260.254
1865.561,255.371,179.688,25.391,66.895,79.102
1865.565,-236.816,99.121,39.062,14.648,-8.789
1865.568,-310.059,-127.93,29.785,0,186.523
1865.572,164.551,-25.391,37.109,40.039,414.062
1865.576,346.191,378.418,59.57,48.828,33.691
1865.58,-75.684,192.383,52.246,18.555,-121.094
1865.582,-301.758,25.879,42.969,8.789,-186.523
1865.586,47.363,177.734,45.41,34.18,-228.516
1865.59,339.355,257.324,48.828,59.082,-198.73
1865.594,30.273,126.465,43.457,40.039,-83.984
1865.598,-343.262,18.066,41.504,7.324,-97.656
1865.602,-109.375,83.496,51.758,28.32,-103.027
1865.606,299.805,181.641,59.082,62.012,-46.387
1865.61,124.512,96.191,59.57,61.523,-12.695
1865.614,-339.844,-166.016,58.105,49.805,322.266
1865.617,-267.578,158.691,67.383,41.504,82.031
1865.621,204.59,461.914,73.73,64.941,-119.629
1865.625,220.215,249.023,64.453,63.477,38.574
1865.627,-234.375,230.469,65.918,28.32,-38.086
1865.631,-340.82,267.578,69.336,10.742,-171.875
1865.635,93.262,227.051,69.824,26.855,-126.465
1865.639,297.852,80.566,69.824,67.871,195.312
1865.643,-106.934,97.656,69.824,36.133,104.492
1865.647,-395.996,167.969,65.918,-4.883,-147.461
1865.651,-51.27,208.008,64.941,24.902,-99.609
1865.655,306.152,139.648,61.035,60.059,316.895
1865.658,22.949,81.055,49.316,56.152,314.941
1865.662,-375.488,254.395,48.34,11.23,-84.961
1865.666,-175.781,249.512,45.898,4.883,-51.27
1865.67,273.438,231.445,47.852,49.805,47.363
1865.673,159.668,287.109,51.27,40.527,-8.301
1865.676,-283.203,239.746,41.016,-10.254,-190.43
1865.68,-262.207,102.051,28.809,1.953,-242.676
1865.684,196.777,200.684,27.344,52.246,-95.215
1865.688,293.457,308.105,29.297,70.312,-28.809
1865.692,-146.484,115.234,26.855,16.602,-156.25
1865.696,-335.449,-45.898,20.996,-4.883,-9.766
1865.7,82.52,-1.465,17.578,47.852,232.422
1865.704,373.535,363.281,25.391,74.219,50.781
1865.708,13.184,353.027,15.625,51.27,-187.012
1865.712,-320.312,106.445,1.953,18.066,-226.562
1865.716,-45.41,147.949,2.441,27.832,-84.961
1865.718,353.027,343.75,7.324,66.895,18.555
1865.721,142.578,334.961,7.324,60.059,-149.414
1865.725,-311.523,-41.016,-7.812,34.18,113.77
1865.729,-171.387,19.043,-12.695,32.227,250.488
1865.733,300.293,381.836,-8.301,62.012,-107.422
1865.737,234.863,249.023,-10.254,62.988,-106.934
1865.741,-235.84,-63.965,-18.555,22.949,202.637
1865.745,-289.062,-7.324,-18.555,20.508,257.324
1865.749,184.082,413.574,-4.395,49.805,-129.883
1865.753,304.199,351.562,-7.324,74.219,-131.836
1865.757,-145.508,176.758,-8.301,28.809,-50.293
1865.761,-349.609,188.477,-13.184,-14.648,-198.73
1865.765,36.133,261.23,-14.16,18.555,-264.648
1865.769,325.684,186.035,-20.508,46.875,-55.176
1865.773,-13.672,75.195,-31.738,18.066,14.648
1865.777,-354.492,177.734,-23.438,-14.16,-141.602
1865.781,-78.125,249.512,-18.066,-12.207,-151.367
1865.785,320.801,90.332,-18.555,32.715,60.059
1865.789,102.539,-98.633,-23.926,41.504,382.812
1865.793,-318.848,160.156,-18.555,-0.488,130.371
1865.796,-194.824,317.871,-15.625,10.742,-152.344
1865.8,247.559,159.18,-21.973,50.293,-49.316
1865.804,234.863,142.578,-21.484,44.434,-53.711
1865.808,-205.566,200.684,-16.113,9.766,-164.551
1865.822,-270.508,164.062,-17.09,-6.348,-140.625
1865.826,165.039,164.551,-18.555,16.113,-21.484
1865.83,316.406,121.582,-20.02,44.434,7.812
1865.833,-84.961,40.527,-22.461,23.926,-39.062
1865.837,-329.102,70.312,-23.438,-3.418,-135.742
1865.841,18.555,-4.395,-19.531,24.414,148.438
